channel_name,channel_id,video_id,target_age,title,published_at,duration,duration_sec,thumbnail_path,thumbnail_url,youtube_watch_url,is_short_auto,short_reason,is_short_manual,short_check_note,is_short_final
한입건강,UCevBKgl8-nLrSfW59s92xcQ,RGwJ3dyrI0s,35-44,스마일라식을 피해야 하는 경우는?,2026-03-22T03:00:23Z,PT30S,30,thumbnails/한입건강/RGwJ3dyrI0s.jpg,https://i.ytimg.com/vi/RGwJ3dyrI0s/maxresdefault.jpg,https://www.youtube.com/watch?v=RGwJ3dyrI0s,True,duration,,,True
한입건강,UCevBKgl8-nLrSfW59s92xcQ,9sTC3aAK974,35-44,내 눈은 스마일라식 받을 수 있는 눈일까?,2026-03-21T03:00:10Z,PT46S,46,thumbnails/한입건강/9sTC3aAK974.jpg,https://i.ytimg.com/vi/9sTC3aAK974/maxresdefault.jpg,https://www.youtube.com/watch?v=9sTC3aAK974,True,duration,,,True
한입건강,UCevBKgl8-nLrSfW59s92xcQ,8xl37Eu8ktQ,35-44,잠이 안 올 때 술을 마시면 안되는 이유,2026-03-19T23:00:21Z,PT53S,53,thumbnails/한입건강/8xl37Eu8ktQ.jpg,https://i.ytimg.com/vi/8xl37Eu8ktQ/maxresdefault.jpg,https://www.youtube.com/watch?v=8xl37Eu8ktQ,True,duration,,,True
한입건강,UCevBKgl8-nLrSfW59s92xcQ,YoADJmKuY9g,35-44,잠을 못자는 상태 = 맹수에게 쫓기는 상황(?),2026-03-19T13:01:06Z,PT28S,28,thumbnails/한입건강/YoADJmKuY9g.jpg,https://i.ytimg.com/vi/YoADJmKuY9g/maxresdefault.jpg,https://www.youtube.com/watch?v=YoADJmKuY9g,True,duration,,,True
한입건강,UCevBKgl8-nLrSfW59s92xcQ,V--PXC4x8lo,35-44,8시간 수면의 배신? 연령에 따른 적정 수면시간은?,2026-03-17T13:00:54Z,PT20S,20,thumbnails/한입건강/V--PXC4x8lo.jpg,https://i.ytimg.com/vi/V--PXC4x8lo/maxresdefault.jpg,https://www.youtube.com/watch?v=V--PXC4x8lo,True,duration,,,True
재활의학과탑팀,UCWW--vYvkR604lbGg92J2_A,WnPyjyx9VOk,35-44,반지야 보조기야? 굽히면 저절로 펴지는 '마법의 문어반지(Octo-Flex)'의 정체!  #문어반지 #OctoFlex #탑팀재활 #박정욱원장 #메디컬쥬얼리 #백조목변형 #버튼홀변형,2026-03-21T12:47:14Z,PT9M17S,557,thumbnails/재활의학과탑팀/WnPyjyx9VOk.jpg,https://i.ytimg.com/vi/WnPyjyx9VOk/maxresdefault.jpg,https://www.youtube.com/watch?v=WnPyjyx9VOk,True,keyword,,,True
재활의학과탑팀,UCWW--vYvkR604lbGg92J2_A,Gr80bEUaSE4,35-44,#낙도행전  고흥군 시산도 쇼츠영상  #탑팀재활의학과  #박정욱원장,2026-03-21T10:05:23Z,PT1M8S,68,thumbnails/재활의학과탑팀/Gr80bEUaSE4.jpg,https://i.ytimg.com/vi/Gr80bEUaSE4/maxresdefault.jpg,https://www.youtube.com/watch?v=Gr80bEUaSE4,True,duration,,,True
재활의학과탑팀,UCWW--vYvkR604lbGg92J2_A,0Iokxc4zQfg,35-44,손가락 관절염 반지 주문방법 디지픽스 반지 #박정욱원장  #탑팀재활의학과 #관절염반지 #손가락관절염,2026-03-16T23:45:32Z,PT1M7S,67,thumbnails/재활의학과탑팀/0Iokxc4zQfg.jpg,https://i.ytimg.com/vi/0Iokxc4zQfg/maxresdefault.jpg,https://www.youtube.com/watch?v=0Iokxc4zQfg,True,duration,,,True
재활의학과탑팀,UCWW--vYvkR604lbGg92J2_A,XZc0-N6Ejkw,35-44,손가락 관절염의 새 희망! 기능성 손가락 쥬얼리 DG-Fix ring 제품 라인 소개!! #박정욱원장 #탑팀재활의학과 #디지픽스,2026-03-16T23:32:01Z,PT1M34S,94,thumbnails/재활의학과탑팀/XZc0-N6Ejkw.jpg,https://i.ytimg.com/vi/XZc0-N6Ejkw/maxresdefault.jpg,https://www.youtube.com/watch?v=XZc0-N6Ejkw,True,duration,,,True
SOOD_Edward Park,UCEcL8vvX2V0z2nM8oXQVIeQ,YO4qomBG1fg,35-44,교정 중이라면 이것만은!,2026-03-20T10:09:48Z,PT1M10S,70,thumbnails/SOOD_EdwardPark/YO4qomBG1fg.jpg,https://i.ytimg.com/vi/YO4qomBG1fg/maxresdefault.jpg,https://www.youtube.com/watch?v=YO4qomBG1fg,True,duration,,,True
