video_id,channel_name,title,duration,duration_sec,short_reason,youtube_watch_url,thumbnail_path,is_short_manual,short_check_note
MVi9CtAt7Lo,따시기(Ddasigi),Backbend Workshop - Kyungseok Kim,PT1M3S,63,duration,https://www.youtube.com/watch?v=MVi9CtAt7Lo,thumbnails/따시기Ddasigi/MVi9CtAt7Lo.jpg,,
K5apGUr8pko,따시기(Ddasigi),"KYA, KYAT300  #요가 #yoga #요가지도자자격시험",PT52S,52,duration,https://www.youtube.com/watch?v=K5apGUr8pko,thumbnails/따시기Ddasigi/K5apGUr8pko.jpg,,
qVdDj5hNTfQ,임피티IMPT,"두툼한 팔뚝살 빼기는 어깨부터입니다, 이렇게만 하세요🔥",PT2M41S,161,duration,https://www.youtube.com/watch?v=qVdDj5hNTfQ,thumbnails/임피티IMPT/qVdDj5hNTfQ.jpg,,
rb92FloHmOU,임피티IMPT,"식후 30번, 배빵빵 혈당 잡는 최고의 운동",PT15S,15,duration,https://www.youtube.com/watch?v=rb92FloHmOU,thumbnails/임피티IMPT/rb92FloHmOU.jpg,,
1j7DkIwNSis,임피티IMPT,"걷기 대신 90초, 볼록한 중년 뱃살 싹 빠집니다",PT1M31S,91,duration,https://www.youtube.com/watch?v=1j7DkIwNSis,thumbnails/임피티IMPT/1j7DkIwNSis.jpg,,
n4FViqkPBc8,임피티IMPT,"운동하기 싫은 날, 딱 3분만 빵빵 뱃살 혈당 태우세요",PT2M58S,178,duration,https://www.youtube.com/watch?v=n4FViqkPBc8,thumbnails/임피티IMPT/n4FViqkPBc8.jpg,,
z7f0n6ci-eA,비타민신지니 VitaminJINY,붓기 스트레스 받으면 필수시청ㅠㅠㅠ,PT25S,25,duration,https://www.youtube.com/watch?v=z7f0n6ci-eA,thumbnails/비타민신지니VitaminJINY/z7f0n6ci-eA.jpg,,
adjSLe_2gNY,비타민신지니 VitaminJINY,목 짧고 말린어깨 필수시청,PT26S,26,duration,https://www.youtube.com/watch?v=adjSLe_2gNY,thumbnails/비타민신지니VitaminJINY/adjSLe_2gNY.jpg,,
EtMkh61F3UI,비타민신지니 VitaminJINY,유산균 효과 없으면 ‘이 1가지’ 꼭 체크해보세요.,PT1M2S,62,duration,https://www.youtube.com/watch?v=EtMkh61F3UI,thumbnails/비타민신지니VitaminJINY/EtMkh61F3UI.jpg,,
5K6houNn6LU,비타민신지니 VitaminJINY,유산균 광고에 속지 않고 좋은 유산균 고르는 법.,PT58S,58,duration,https://www.youtube.com/watch?v=5K6houNn6LU,thumbnails/비타민신지니VitaminJINY/5K6houNn6LU.jpg,,
L2iCLoUfTP4,비타민신지니 VitaminJINY,얼굴이 2배 작아보이는 ‘기적의 쇄골 마사지’,PT54S,54,duration,https://www.youtube.com/watch?v=L2iCLoUfTP4,thumbnails/비타민신지니VitaminJINY/L2iCLoUfTP4.jpg,,
bCJF6gSvGHc,김아랑 Alang Kim,밀라노에서 Creator Collective 초대받아 다녀왔어요 ✨ #YouTubeCreatorCollective @YouTube @youtubecreators,PT14S,14,duration,https://www.youtube.com/watch?v=bCJF6gSvGHc,thumbnails/김아랑AlangKim/bCJF6gSvGHc.jpg,,
Uf9uhZaTyd0,김소형채널H,암이 걱정된다면 이것만큼은 꼭 끊으세요! #암 #혈관신생,PT2M59S,179,duration,https://www.youtube.com/watch?v=Uf9uhZaTyd0,thumbnails/김소형채널H/Uf9uhZaTyd0.jpg,,
Udlf0-QQ9tM,김소형채널H,소화가 안되고 명치가 꽉 막히고 항상 더부룩한 분들은 여기를 살살 만져주세요! #소화불량 #위장건강 #건강정보,PT2M50S,170,duration,https://www.youtube.com/watch?v=Udlf0-QQ9tM,thumbnails/김소형채널H/Udlf0-QQ9tM.jpg,,
