channel_name,channel_id,target_age
좋은균 연구소,UCgDOVDGCIxLgrG34_rrjMjQ,small
비핏Bfit,UCUXlYdszhFOnKev2fdqZ7iA,small
나헌식TV,UCBfF9OOAAc-Vxv48qno9Tpg,small
볼매의사@닥터 히포크라타,UCyR65hQEudqUWENG5yNgTGw,small
시니어라디오TV,UCwa7pdbWG2PdpT6jqZc_fKw,small
야생화의신비 Wildflower Mystery,UCF9Ks4KdgTwnA6MuLboQESQ,small
고마온TV 건강자립,UCsRT6RCiTNrBvsJ_rJgJkYQ,small
카니비비안 carni_vivien,UCR8J54wOMKVKfuLIECaBFGQ,small
Dental Bean,UCXX2GqXsMEXnFRSxewFcGOA,medium
유경쌤의 미소학개론,UCl1wbnBjMxh0Zw38FnAS7ng,small
아는성님,UCU4Y6hJ3GaAu0BBE4z8maRA,small
[ATOMY KOREA Official]애터미 공식 제품 채널,UCHwi1XQ7a0hWJ7RoDn9MAjQ,small
백세지혜연구소,UCWQcdyZjvns8Lg2WerORUQQ,small
선잘의 FM 라디오,UCnBGIDINHIxmvjA-14cmMwg,medium
명탐정 쿠키,UC7KNZD0DkgDtAnZm0KCdhZQ,medium
"우리 아이 마음 해결사, 우아해",UCc2258li2l4AUN25pIxXFTQ,small
DR.유미의 성(性)세포들,UCJkmwh-4kFkhxT_fNEGkhnw,medium
매력적인 노년 이야기,UCRf1axswcRFRbFtpR1LqdkA,small
무강이,UCaMWoM36v8pKgVmyVn8W-1A,large
행복한기다림 미희TV,UCBfQfFkKkMCYjJ4aj0FqI8A,small
내귀에닥터,UCVYrNBxy9BiRseD5EtZGTng,small
엠디TV [20년 Only 가슴성형],UCEKTF51I3UiM19UetQqLxMQ,small
일타치의 임종우,UC65gC-98pIZzVtdHXI1zx7g,small
양악김선생,UCO3XpA23Aiw2sNXO0BPisLQ,small
통증안녕 기승전운동,UCpbJgWQKayHVUJMxDbV5o-g,medium
체질닥터ㅣ8체질ㆍ추나요법 ASMR,UCtSDStpQsON-35lDKPl6hpw,medium
힐링트리뮤직Healing Tree Music,UCP9coB9wlpJkqMHj8lXI5aw,medium
튼튼백서,UCo0zgbbB9S00lvRUCQDFxyQ,medium
HBS약초방송,UCdRcubzVjtptKPG6nJ773wA,large
KBS 생로병사의 비밀,UCiV4_cGVt-t-j6jMQ7RCrXw,large
플러스S맨,UCV9B-O-WMMBqA1LVKnonROA,small
난임닥터 비커밍,UCmVQQ7fvBU7gmLhC4a3oaNQ,small
시니어 닥터 톡스,UC4S5_P35PS22tT4CLVohSfw,small
뇌똑똑TV,UCQ7-HAZFih8Xi-iFiBL_0hg,small
안과 전문의 조성원,UC_xOayxX27Zbrqhh3h5-uuw,small
대교 뉴이프Plus / 뉴플 / Daekyo Newif Plus,UCrxsM1BYjOkGvBl_ic40uLQ,medium
어떤약사,UCpY0_3SqKzxttWPaptnkBfQ,medium
힘찬병원,UCyqvSbrRyaRq1TuRlwVXrzw,medium
나다운 Wellness,UCZdgP1qedWzdm0ybhIz14Fw,small
고쳐줘 NOW,UCGyYH219gPS8hXJmaaZ0DeA,large
차병원 CHA Medical Center,UCHDoVNV6NkgjuiCyLIMmdqQ,small
대찬병원,UC8RE8q5jZfXUTw39dot8Sug,small
미소담한의학의 담적병,UCTLeIrdxl5-_pfV67kpvF3A,small
건강을 읽어드려요,UCXOgEhSgaJEVv9U5QMEjF8Q,small
톡투건강TV,UCVC21HvJs4W6FclmYr7pFGw,medium
Basant,UCg_s4nYsikIr2X-f3T8JF7g,small
디지털 정원장,UCzoL9iedyHYxsE8mcliAH4g,small
수와진💗안상진TV,UCDrG6kIO-NiN80sQM8F9roQ,small
내친구 씽씽이,UC_Z8oaHxlxb95uVofCvg9NQ,small
의사친[의사사람친구],UC8EMF6H5YOCk-BdNEuYnkbA,large
효초TV,UCOoLHHnlDOU9yAPs2dcYNVA,large
비정상토크,UC7PnJvFZMMzzlA_H8f8sE6w,small
Isla Rune Pilates,UC1ll_4DblySYDARZcbOt3xg,large
Dr. Lee Min Soo,UCIPLKPZ1wUNiU2h3zc4iYSw,small
이웃집닥터,UCuikDblzbJZK2zkC1EDTKgQ,medium
지혜호수,UC0bQR4Ad60pOmNYL8tSX0BA,medium
모티브성형외과,UCXxA2tZh_noY5OwfruPt5sA,small
민티런 MintyRun,UCmafuqR6Iya-c0CPMOgApYA,small
이대영의 새길TV [척추·관절],UCb9w7aVmVpPCS-S2Y6Zf7AA,medium
두발로병원,UC3gt-EL1djoai8qhtQVbqWA,small
