channel_name,channel_id,target_age
일타치의 임종우,UC65gC-98pIZzVtdHXI1zx7g,health
양악김선생,UCO3XpA23Aiw2sNXO0BPisLQ,health
통증안녕 기승전운동,UCpbJgWQKayHVUJMxDbV5o-g,health
체질닥터ㅣ8체질ㆍ추나요법 ASMR,UCtSDStpQsON-35lDKPl6hpw,health
힐링트리뮤직Healing Tree Music,UCP9coB9wlpJkqMHj8lXI5aw,health
튼튼백서,UCo0zgbbB9S00lvRUCQDFxyQ,health
HBS약초방송,UCdRcubzVjtptKPG6nJ773wA,health
KBS 생로병사의 비밀,UCiV4_cGVt-t-j6jMQ7RCrXw,health
플러스S맨,UCV9B-O-WMMBqA1LVKnonROA,health
난임닥터 비커밍,UCmVQQ7fvBU7gmLhC4a3oaNQ,health
시니어 닥터 톡스,UC4S5_P35PS22tT4CLVohSfw,health
뇌똑똑TV,UCQ7-HAZFih8Xi-iFiBL_0hg,health
안과 전문의 조성원,UC_xOayxX27Zbrqhh3h5-uuw,health
대교 뉴이프Plus / 뉴플 / Daekyo Newif Plus,UCrxsM1BYjOkGvBl_ic40uLQ,health
어떤약사,UCpY0_3SqKzxttWPaptnkBfQ,health
힘찬병원,UCyqvSbrRyaRq1TuRlwVXrzw,health
나다운 Wellness,UCZdgP1qedWzdm0ybhIz14Fw,health
고쳐줘 NOW,UCGyYH219gPS8hXJmaaZ0DeA,health
차병원 CHA Medical Center,UCHDoVNV6NkgjuiCyLIMmdqQ,health
대찬병원,UC8RE8q5jZfXUTw39dot8Sug,health
미소담한의학의 담적병,UCTLeIrdxl5-_pfV67kpvF3A,health
건강을 읽어드려요,UCXOgEhSgaJEVv9U5QMEjF8Q,health
톡투건강TV,UCVC21HvJs4W6FclmYr7pFGw,health
Basant,UCg_s4nYsikIr2X-f3T8JF7g,health
디지털 정원장,UCzoL9iedyHYxsE8mcliAH4g,health
수와진💗안상진TV,UCDrG6kIO-NiN80sQM8F9roQ,health
내친구 씽씽이,UC_Z8oaHxlxb95uVofCvg9NQ,health
의사친[의사사람친구],UC8EMF6H5YOCk-BdNEuYnkbA,health
효초TV,UCOoLHHnlDOU9yAPs2dcYNVA,health
비정상토크,UC7PnJvFZMMzzlA_H8f8sE6w,health
Isla Rune Pilates,UC1ll_4DblySYDARZcbOt3xg,health
Dr. Lee Min Soo,UCIPLKPZ1wUNiU2h3zc4iYSw,health
이웃집닥터,UCuikDblzbJZK2zkC1EDTKgQ,health
지혜호수,UC0bQR4Ad60pOmNYL8tSX0BA,health
모티브성형외과,UCXxA2tZh_noY5OwfruPt5sA,health
민티런 MintyRun,UCmafuqR6Iya-c0CPMOgApYA,health
이대영의 새길TV [척추·관절],UCb9w7aVmVpPCS-S2Y6Zf7AA,health
두발로병원,UC3gt-EL1djoai8qhtQVbqWA,health
앙광희,UCmp6jXENvNH-KUgRHNe-H0A,health
프리미티브의 전래식단 이야기,UCqaSH5Js_s80nIY3P_wqCcg,health
삼보리 명상원,UCrpGdXuJtGZqI8reS52iIZg,health
에스더기도운동,UC-SsCweblwxALNIMkoHCiPQ,health
