Channel Name,Channel Link,channel_id,Subscribers,Average Daily Views
흑백리뷰,https://vling.net/channel/UC5T4b53jVkm07JbYoyYiu7A,UC5T4b53jVkm07JbYoyYiu7A,833000,1426204
もちちゃん,https://vling.net/channel/UCagvBNz5N09i3hrneuWgPmg,UCagvBNz5N09i3hrneuWgPmg,27200,9451
양희경의 딴집밥,https://vling.net/channel/UCfxSyqDWlIY4eyBPW64lZ5w,UCfxSyqDWlIY4eyBPW64lZ5w,138000,10617
흥삼이네 Heungsam's Family,https://vling.net/channel/UC5XuQ-xiWAB6f-qu6gJMDBQ,UC5XuQ-xiWAB6f-qu6gJMDBQ,3930000,500056
웅이woongei,https://vling.net/channel/UCK72hqlUxI_E5VwL4cy8-ww,UCK72hqlUxI_E5VwL4cy8-ww,724000,252311
쿡잇파파 C.E.P.P,https://vling.net/channel/UCpGhouGKBKz8bulck-eFVhg,UCpGhouGKBKz8bulck-eFVhg,191000,33252
워커제이WALKER.J,https://vling.net/channel/UC7zXyx0M1Nz2qb7zgfOL0_Q,UC7zXyx0M1Nz2qb7zgfOL0_Q,230000,132928
지순이네 jisoonhome,https://vling.net/channel/UCLIf2YCmdcDNNZ1flu0AwKA,UCLIf2YCmdcDNNZ1flu0AwKA,43800,6202
팔숙이 palsook,https://vling.net/channel/UCI64Eh_rwWGNDOqrXAcSL8Q,UCI64Eh_rwWGNDOqrXAcSL8Q,358000,46528
햇살의정원,https://vling.net/channel/UCm1f4fAeBy7j26ksfrWrlMg,UCm1f4fAeBy7j26ksfrWrlMg,11900,428
면부장,https://vling.net/channel/UCGrTTJzlqk0DCkaUckWaBPQ,UCGrTTJzlqk0DCkaUckWaBPQ,115000,35555
쪼끄맹,https://vling.net/channel/UCVYfq00z2b38Z1EK9BMwsWg,UCVYfq00z2b38Z1EK9BMwsWg,16400,392
집밥 korean home cooking,https://vling.net/channel/UCrpB5PigomcupI9PTRKioog,UCrpB5PigomcupI9PTRKioog,1140000,96008
오렌즈OLENS,https://vling.net/channel/UC2OB5K-Rdmu01FuH-2tej3g,UC2OB5K-Rdmu01FuH-2tej3g,15000,79628
쿠키런,https://vling.net/channel/UCr-Eaw_CBpAqKHbzV_GidQQ,UCr-Eaw_CBpAqKHbzV_GidQQ,192000,7176
스마일살림,https://vling.net/channel/UCtaflAMl4wvwXseK56aweMg,UCtaflAMl4wvwXseK56aweMg,92300,9755
와지트 WAZIT ,https://vling.net/channel/UCfFi7-7_41KLVYHJtZ_wbrg,UCfFi7-7_41KLVYHJtZ_wbrg,112000,1506
생선선생 미스터S,https://vling.net/channel/UCGBf_AlWXkwfQ8R3lclRFbg,UCGBf_AlWXkwfQ8R3lclRFbg,188000,123646
뇨리 티브이,https://vling.net/channel/UCRcj0GSaOmDdFukahVS4u1A,UCRcj0GSaOmDdFukahVS4u1A,389000,27438
코우지 TV [더 상생],https://vling.net/channel/UCL12ddKeiBTMGZ_g6X7PhXw,UCL12ddKeiBTMGZ_g6X7PhXw,400000,32405
반아트는 주행 중ㅣ酒行 中ㅣVanArt Alcohol Trip,https://vling.net/channel/UCbGLsl8gGB9Ly9lKDTRx5qA,UCbGLsl8gGB9Ly9lKDTRx5qA,31600,28296
HIU English 하이유 잉글리시 ,https://vling.net/channel/UCMpuf80FwKLHrELwDXqZH4w,UCMpuf80FwKLHrELwDXqZH4w,3330000,440407
네루짱NERU,https://vling.net/channel/UCfJvjZ4pYpxNQQEevBuY_XQ,UCfJvjZ4pYpxNQQEevBuY_XQ,442000,163513
여수MBCPrime,https://vling.net/channel/UCwWqBWIe72xKV016rcXGaaA,UCwWqBWIe72xKV016rcXGaaA,183000,3383
쩐슈,https://vling.net/channel/UCY3r5c2-cpUgXycsLFL2Xiw,UCY3r5c2-cpUgXycsLFL2Xiw,16100,8331
“먹방 몬스터 울산마동석” 💥,https://vling.net/channel/UCb2DTKil5JT5zoQb5PFuVwA,UCb2DTKil5JT5zoQb5PFuVwA,91900,175321
나무 도감 공부,https://vling.net/channel/UCbwN-xWm7_1Nm6_t5zQ01zg,UCbwN-xWm7_1Nm6_t5zQ01zg,20200,838
빵장금,https://vling.net/channel/UC_L8BUEwRI2DDb2eew5LK-A,UC_L8BUEwRI2DDb2eew5LK-A,36700,4271
돼지수산 158,https://vling.net/channel/UCRgBlQGkRnlx3Jxv-PNStSw,UCRgBlQGkRnlx3Jxv-PNStSw,13000,1062
이계피 요리채널,https://vling.net/channel/UCepLjVoNirPHYWI5andIRPg,UCepLjVoNirPHYWI5andIRPg,28700,129006
부엉이TV,https://vling.net/channel/UC8rHHiicfjVYf1Cjgbd5X8w,UC8rHHiicfjVYf1Cjgbd5X8w,18400,12533
밥상차려주는남자,https://vling.net/channel/UCKRyhheRuLLDGuUn2YoFFFQ,UCKRyhheRuLLDGuUn2YoFFFQ,811000,107938
묘미Myomi-텃밭,https://vling.net/channel/UCpC2tVXF7NFUDTFSep9ZIjA,UCpC2tVXF7NFUDTFSep9ZIjA,37400,7513
Saeron Life,https://vling.net/channel/UCmnxRmoAsHpPQmbFD9OiouA,UCmnxRmoAsHpPQmbFD9OiouA,241000,1578
셰프애찬,https://vling.net/channel/UCPq6-xGm6uiuE8pCT1DO8UA,UCPq6-xGm6uiuE8pCT1DO8UA,13100,890
개구경tv,https://vling.net/channel/UCrUCuOfsoTDUox1bjoIyKwg,UCrUCuOfsoTDUox1bjoIyKwg,20100,685
앵우[AengWoo],https://vling.net/channel/UCVRUiOBn68y0xJv5pT8qlOA,UCVRUiOBn68y0xJv5pT8qlOA,44600,257
함께해요 맛나요리,https://vling.net/channel/UCVXx89z5j3gkQMGScNqmWjw,UCVXx89z5j3gkQMGScNqmWjw,1630000,77471
한지일TV,https://vling.net/channel/UC9FwiDmhOa95MDqUHso8uIg,UC9FwiDmhOa95MDqUHso8uIg,28700,6764
데비마마 DEBBIEMAMA,https://vling.net/channel/UCkEm9nRSzZxB6FinIWnbJ2A,UCkEm9nRSzZxB6FinIWnbJ2A,31000,3358
던킨 TV,https://vling.net/channel/UCsGLBBGRlBSCzRGYaEZTt0g,UCsGLBBGRlBSCzRGYaEZTt0g,46900,7451
범프리카,https://vling.net/channel/UCEXeyLyyev4jxN4pwmr9Eiw,UCEXeyLyyev4jxN4pwmr9Eiw,265000,164253
가평코난,https://vling.net/channel/UCNfLlYC7wObdSLrh7kUf4lA,UCNfLlYC7wObdSLrh7kUf4lA,40200,3042
인덕션 요리하는 남자,https://vling.net/channel/UCzd3wYTQRSAYI4mPylOerJQ,UCzd3wYTQRSAYI4mPylOerJQ,23300,311
청산별곡TV,https://vling.net/channel/UC_9JXnGVBdN7NeAb7jgitcA,UC_9JXnGVBdN7NeAb7jgitcA,107000,8396
h퍼즐,https://vling.net/channel/UCrf62gEqaGK2saKj_oU5IYg,UCrf62gEqaGK2saKj_oU5IYg,20000,523
호치민주부 미영 HCMC JUBU,https://vling.net/channel/UCtKmp6x0aVJjp_ftiN70jmA,UCtKmp6x0aVJjp_ftiN70jmA,13100,1060
푸드투어FoodTour,https://vling.net/channel/UCqXgXRW_Mvzj8_o3DfObuyQ,UCqXgXRW_Mvzj8_o3DfObuyQ,42900,2225
[좋은남자],https://vling.net/channel/UCZ7GPhyPT-HK6bojnpdhSXQ,UCZ7GPhyPT-HK6bojnpdhSXQ,20800,4129
홍영기(young gee Hong),https://vling.net/channel/UCWuWpKhbGev8Za4J-jfdSXw,UCWuWpKhbGev8Za4J-jfdSXw,635000,30929
춘천약초TV Flower tea,https://vling.net/channel/UC57ykpQztHaV1yWcseWDMmw,UC57ykpQztHaV1yWcseWDMmw,17000,393
정육왕 MeatCreator,https://vling.net/channel/UC1oXmhvYHVI2bApphh3IzuQ,UC1oXmhvYHVI2bApphh3IzuQ,764000,210177
효비HyoBee,https://vling.net/channel/UC60126GZFq0ALxVjTcl0QrQ,UC60126GZFq0ALxVjTcl0QrQ,55000,9057
한국맛집여행,https://vling.net/channel/UCA9lrJO7IC-akkOrdG_kZew,UCA9lrJO7IC-akkOrdG_kZew,15500,3088
숭부지🥢맛집쫓는 개드립퍼,https://vling.net/channel/UC1itlCNdWidgM9eUsuWjf5A,UC1itlCNdWidgM9eUsuWjf5A,21100,2721
방랑자채널,https://vling.net/channel/UC6EVblMaNgsx5P9TuqlE9SQ,UC6EVblMaNgsx5P9TuqlE9SQ,66400,7074
GS25 l 이리오너라,https://vling.net/channel/UCl0HemfAt7dShJRf59_cuGQ,UCl0HemfAt7dShJRf59_cuGQ,1050000,148009
예소리SSOL,https://vling.net/channel/UCxvX64o-lJ9m4Co9zm6druQ,UCxvX64o-lJ9m4Co9zm6druQ,246000,30672
정육점아지야meatman,https://vling.net/channel/UCW78wkSCCBpad3Yg3JZYy-A,UCW78wkSCCBpad3Yg3JZYy-A,195000,3809
나나&나 nana&na,https://vling.net/channel/UCxPsmOVI09rLoeB-Q5E4KiA,UCxPsmOVI09rLoeB-Q5E4KiA,34900,77
옥수수콩,https://vling.net/channel/UC1JKwATe3aSZUsuqFhnR5BA,UC1JKwATe3aSZUsuqFhnR5BA,11700,1392
시골마이라이프,https://vling.net/channel/UCyVsAOUWUWdIwOpIX0URsWg,UCyVsAOUWUWdIwOpIX0URsWg,27300,2898
VLOG 제제 (JEJE),https://vling.net/channel/UCSWpQJPREdwxwF0uRnOwimQ,UCSWpQJPREdwxwF0uRnOwimQ,13600,152
이마트 LIVE,https://vling.net/channel/UCojm0qrKPoxt6lc6J4iDCrQ,UCojm0qrKPoxt6lc6J4iDCrQ,707000,795310
우리의 한끼,https://vling.net/channel/UC31ZRIFnArPZMp78FmbFAXw,UC31ZRIFnArPZMp78FmbFAXw,23400,10770
일극장,https://vling.net/channel/UC3zHBZWes6ZbnnciAekUVCw,UC3zHBZWes6ZbnnciAekUVCw,97300,190997
세라는 술말려,https://vling.net/channel/UCmE4NuTfSISuz6UFiktosag,UCmE4NuTfSISuz6UFiktosag,97900,23641
한솔요리학원,https://vling.net/channel/UC3h6PKGEW3kXppf-2Sz7P1Q,UC3h6PKGEW3kXppf-2Sz7P1Q,13700,4578
코지데이 CozyDay,https://vling.net/channel/UCEyuopMY0Lx5b5PgCH03FSQ,UCEyuopMY0Lx5b5PgCH03FSQ,562000,4246
조재원,https://vling.net/channel/UC2o_y872S6YvaO1K8EYnoxg,UC2o_y872S6YvaO1K8EYnoxg,2150000,647078
-산라가만들다,https://vling.net/channel/UC55T49igez4-r1iv7bAJezw,UC55T49igez4-r1iv7bAJezw,26100,1785
김사원세끼,https://vling.net/channel/UC-x55HF1-IilhxZOzwJm7JA,UC-x55HF1-IilhxZOzwJm7JA,433000,19778
yeolmoo열무,https://vling.net/channel/UC3S5RJSHvGtsnoyS3qUKUBQ,UC3S5RJSHvGtsnoyS3qUKUBQ,84700,3976
털난새우,https://vling.net/channel/UC13xb5Ehc9qS4Moey95DvHg,UC13xb5Ehc9qS4Moey95DvHg,73500,26054
커핑포스트,https://vling.net/channel/UC0qnwwpDhqPmrYegf1bPO6A,UC0qnwwpDhqPmrYegf1bPO6A,52300,2488
자연음식산들바람,https://vling.net/channel/UC1IkVnd84Dj3L1w5JjryKJQ,UC1IkVnd84Dj3L1w5JjryKJQ,189000,8126
나나먹방 Nana mukbang,https://vling.net/channel/UC2_hzdvP-j569djTquAed_Q,UC2_hzdvP-j569djTquAed_Q,218000,108090
로루맘,https://vling.net/channel/UCzR42kASpewEQUIcSXxGZ_A,UCzR42kASpewEQUIcSXxGZ_A,23300,80420
