channel_name,channel_id,subscribers,avg_daily_views
볼매의사@닥터 히포크라타,UCyR65hQEudqUWENG5yNgTGw,49900,759
시니어라디오TV,UCwa7pdbWG2PdpT6jqZc_fKw,47200,12239
야생화의신비 Wildflower Mystery,UCF9Ks4KdgTwnA6MuLboQESQ,22800,208
고마온TV 건강자립,UCsRT6RCiTNrBvsJ_rJgJkYQ,38700,3982
카니비비안 carni_vivien,UCR8J54wOMKVKfuLIECaBFGQ,12000,3373
Dental Bean,UCXX2GqXsMEXnFRSxewFcGOA,90300,4711
유경쌤의 미소학개론,UCl1wbnBjMxh0Zw38FnAS7ng,37500,5971
Relax Gently,UCHLxiySp_bOSL0TsUcPV0Iw,180000,15098
연세재활운동센터,UCdThhoXBOMyTLbaKz-tFgSQ,18500,2170
아는성님,UCU4Y6hJ3GaAu0BBE4z8maRA,22500,288
[ATOMY KOREA Official]애터미 공식 제품 채널,UCHwi1XQ7a0hWJ7RoDn9MAjQ,13900,1690
백세지혜연구소,UCWQcdyZjvns8Lg2WerORUQQ,18900,84
시니어건강회관2,UC34-Orqw21kiUkwR-v3scaw,12000,3019
남녀의학연구소,UC9Bb-XcWooi5yVCng46xaZg,10000,5977
힐링루미나 Healing Lumina,UCY-OANuBvks2lBMgAfZgh6g,39000,23306
상쾌한의사 김성찬 ,UC9bhIPpJZFJhMh7e7BP7l9w,28400,10970
선잘의 FM 라디오,UCnBGIDINHIxmvjA-14cmMwg,166000,88
명탐정 쿠키,UC7KNZD0DkgDtAnZm0KCdhZQ,58400,8069
"우리 아이 마음 해결사, 우아해",UCc2258li2l4AUN25pIxXFTQ,19000,3404
DR.유미의 성(性)세포들,UCJkmwh-4kFkhxT_fNEGkhnw,51300,15552
매력적인 노년 이야기,UCRf1axswcRFRbFtpR1LqdkA,19100,457
무강이,UCaMWoM36v8pKgVmyVn8W-1A,229000,324
행복한기다림 미희TV,UCBfQfFkKkMCYjJ4aj0FqI8A,18000,5398
내귀에닥터,UCVYrNBxy9BiRseD5EtZGTng,25800,3976
엠디TV [20년 Only 가슴성형],UCEKTF51I3UiM19UetQqLxMQ,15900,2116
일타치의 임종우,UC65gC-98pIZzVtdHXI1zx7g,17300,2835
양악김선생,UCO3XpA23Aiw2sNXO0BPisLQ,11700,3515
통증안녕 기승전운동,UCpbJgWQKayHVUJMxDbV5o-g,81300,435
체질닥터ㅣ8체질ㆍ추나요법 ASMR,UCtSDStpQsON-35lDKPl6hpw,77900,2265
힐링트리뮤직Healing Tree Music,UCP9coB9wlpJkqMHj8lXI5aw,130000,9839
